pid,date,cpu,mem
6216,17:09:01,0,0.2
6002,17:09:01,0,3
6350,17:09:01,0,0.2
6211,17:09:01,0,0.1
6438,17:09:01,0,0.1
582,17:09:01,0,0
6401,17:09:01,0.4,3.8
6273,17:09:01,0,0.8
6007,17:09:01,0,1
6181,17:09:01,0,0.9
249,17:09:02,4.3,4
395,17:09:02,0.1,1.1
141,17:09:02,0.3,1.2
6043,17:09:02,0.4,3.4
6020,17:09:02,0,1.6
6338,17:09:02,0,0.9
172,17:09:02,0,1.2
406,17:09:02,0,0.3
343,17:09:02,0,0.6
6126,17:09:02,0,4.1
6216,17:09:02,0,0.2
6002,17:09:02,0.2,3
6350,17:09:02,0,0.2
6211,17:09:02,0,0.1
6438,17:09:02,0,0.1
582,17:09:02,0,0
6401,17:09:02,0.4,3.8
6273,17:09:02,0,0.8
6007,17:09:02,0,1
6181,17:09:02,0,0.9
249,17:09:03,0,4
395,17:09:03,0,1.1
141,17:09:03,12.6,1.2
6043,17:09:03,0.4,3.4
6020,17:09:03,0,1.6
6338,17:09:03,0,0.9
172,17:09:03,0.7,1.2
406,17:09:03,0,0.3
343,17:09:03,0,0.6
6126,17:09:03,0,4.1
6216,17:09:03,0,0.2
6002,17:09:03,1.4,3
6350,17:09:03,0,0.2
6211,17:09:03,0,0.1
6438,17:09:03,0,0.1
582,17:09:03,0,0
6401,17:09:03,0.4,3.7
6273,17:09:03,22.5,0.9
6007,17:09:03,0,1
6181,17:09:03,0,0.8
249,17:09:05,0,4
395,17:09:05,0,1.1
141,17:09:05,10.7,1.2
6043,17:09:05,0.4,3.4
6020,17:09:05,0,1.6
6338,17:09:05,0,0.9
172,17:09:05,0,1.2
406,17:09:05,0,0.3
343,17:09:05,0,0.6
6126,17:09:05,0,4.1
6216,17:09:05,0,0.2
6002,17:09:05,1.8,3
6350,17:09:05,0,0.2
6211,17:09:05,0,0.1
6438,17:09:05,0,0.1
582,17:09:05,0,0
6401,17:09:05,0.1,3.7
6273,17:09:05,24.8,0.9
6007,17:09:05,0.1,1
6181,17:09:05,0,0.8
249,17:09:06,0.1,4
395,17:09:06,0.1,1.1
141,17:09:06,8.2,1.2
6043,17:09:06,0.4,3.4
6020,17:09:06,0,1.6
6338,17:09:06,0,0.9
172,17:09:06,0,1.2
406,17:09:06,0,0.3
343,17:09:06,0,0.6
6126,17:09:06,0,4.1
6216,17:09:06,0,0.2
6002,17:09:06,0.3,3
6350,17:09:06,0,0.2
6211,17:09:06,0,0.1
6438,17:09:06,0,0.1
582,17:09:06,0,0
6401,17:09:06,0.1,3.7
6273,17:09:06,4.4,0.9
6007,17:09:06,0,1
6181,17:09:06,0,0.8
249,17:09:07,0,4
395,17:09:07,0,1.1
141,17:09:07,8.4,1.2
6043,17:09:07,0.4,3.4
6020,17:09:07,0,1.6
6338,17:09:07,0,0.9
172,17:09:07,0,1.2
406,17:09:07,0,0.3
343,17:09:07,0,0.6
6126,17:09:07,0.1,4.1
6216,17:09:07,0,0.2
6002,17:09:07,0.4,3
6350,17:09:07,0,0.2
6211,17:09:07,0,0.1
6438,17:09:07,0,0.1
582,17:09:07,0,0
6401,17:09:07,0.1,3.3
6273,17:09:07,12.1,1
6007,17:09:07,0,1
6181,17:09:07,0,0.8
249,17:09:08,0,4
395,17:09:08,0,1.1
141,17:09:08,9.9,1.2
6043,17:09:08,0.9,3.4
6020,17:09:08,0.3,1.6
6338,17:09:08,0,0.9
172,17:09:08,0,1.2
406,17:09:08,0,0.3
343,17:09:08,0,0.6
6126,17:09:08,0,4.1
6216,17:09:08,0,0.2
6002,17:09:08,0.7,3
6350,17:09:08,0,0.2
6211,17:09:08,0,0.1
6438,17:09:08,0,0.1
582,17:09:08,0,0
6401,17:09:08,0,3.3
6273,17:09:08,23.5,0.9
6007,17:09:08,0,1
6181,17:09:08,0,0.8
249,17:09:09,0,4
395,17:09:09,0,1.1
141,17:09:09,11.5,1.2
6043,17:09:09,0.8,3.4
6020,17:09:09,0,1.6
6338,17:09:09,0,0.9
172,17:09:09,0,1.2
406,17:09:09,0,0.3
343,17:09:09,0,0.6
6126,17:09:09,0,4.1
6216,17:09:09,0,0.2
6002,17:09:09,0.7,3
