pid,time,cpu
6007,18:31:28,0
8914,18:31:28,0
8987,18:31:28,0
141,18:31:30,12.8
249,18:31:30,0
395,18:31:30,0
9158,18:31:30,14.4
8978,18:31:30,0.1
6043,18:31:30,0.3
6020,18:31:30,0
6338,18:31:30,0
172,18:31:30,0
406,18:31:30,0.6
343,18:31:30,0
6002,18:31:30,0
8945,18:31:30,0
6350,18:31:30,0
6211,18:31:30,0
582,18:31:30,0
8988,18:31:30,0.2
6007,18:31:30,0
8914,18:31:30,0
8987,18:31:30,0
141,18:31:31,7.5
249,18:31:31,0
395,18:31:31,0
9158,18:31:31,8.9
8978,18:31:31,0
6043,18:31:31,0.3
6020,18:31:31,0
6338,18:31:31,0
172,18:31:31,0
406,18:31:31,0
343,18:31:31,0
6002,18:31:31,0.4
8945,18:31:31,0
6350,18:31:31,0
6211,18:31:31,0
582,18:31:31,0
8988,18:31:31,0.2
6007,18:31:31,0
8914,18:31:31,0
8987,18:31:31,0
141,18:31:32,2.5
249,18:31:32,0
395,18:31:32,0
9158,18:31:32,4
8978,18:31:32,0
6043,18:31:32,0.4
6020,18:31:32,0
6338,18:31:32,0
172,18:31:32,0
406,18:31:32,0
343,18:31:32,0
6002,18:31:32,0.1
8945,18:31:32,0
6350,18:31:32,0
6211,18:31:32,0
582,18:31:32,0
8988,18:31:32,0.2
6007,18:31:32,0
8914,18:31:32,0
8987,18:31:32,0
141,18:31:33,8.2
249,18:31:33,0
395,18:31:33,0.4
9158,18:31:33,8.8
8978,18:31:33,0
6043,18:31:33,0.6
6020,18:31:33,0
6338,18:31:33,0
172,18:31:33,0
406,18:31:33,0
343,18:31:33,0
6002,18:31:33,0.3
8945,18:31:33,0
6350,18:31:33,0
6211,18:31:33,0
582,18:31:33,0
8988,18:31:33,0.4
6007,18:31:33,0
8914,18:31:33,0
8987,18:31:33,0
141,18:31:34,12.7
249,18:31:34,0
395,18:31:34,0.1
9158,18:31:34,13.6
8978,18:31:34,0
6043,18:31:34,0.6
6020,18:31:34,0
6338,18:31:34,0
172,18:31:34,0
406,18:31:34,0
343,18:31:34,0
6002,18:31:34,0.2
8945,18:31:34,0
6350,18:31:34,0
6211,18:31:34,0
582,18:31:34,0
8988,18:31:34,0.2
6007,18:31:34,0
8914,18:31:34,0
8987,18:31:34,0
141,18:31:35,7.9
249,18:31:35,0
395,18:31:35,0.4
9158,18:31:35,8.1
8978,18:31:35,0
6043,18:31:35,0.7
6020,18:31:35,0
6338,18:31:35,0
172,18:31:35,0
406,18:31:35,0.2
343,18:31:35,0
6002,18:31:35,0.1
8945,18:31:35,0
6350,18:31:35,0
6211,18:31:35,0
582,18:31:35,0
8988,18:31:35,0.2
6007,18:31:35,0
8914,18:31:35,0
8987,18:31:35,0
141,18:31:36,18.3
249,18:31:36,0
395,18:31:36,0
9158,18:31:36,18.5
8978,18:31:36,1.3
6043,18:31:36,0.6
6020,18:31:36,0
6338,18:31:36,0
172,18:31:36,0
406,18:31:36,0
343,18:31:36,0
6002,18:31:36,0.2
8945,18:31:36,0
6350,18:31:36,0
6211,18:31:36,0
582,18:31:36,0
8988,18:31:36,0.2
6007,18:31:36,0
8914,18:31:36,0
8987,18:31:36,0
141,18:31:37,12.3
249,18:31:37,0
395,18:31:37,0
9158,18:31:37,8.9
8978,18:31:37,0
6043,18:31:37,0.7
6020,18:31:37,0
6338,18:31:37,0
172,18:31:37,0
406,18:31:37,0
343,18:31:37,0
6002,18:31:37,0
8945,18:31:37,0
6350,18:31:37,0
6211,18:31:37,0
582,18:31:37,0
8988,18:31:37,0.2
6007,18:31:37,0
8914,18:31:37,0
8987,18:31:37,0
141,18:31:38,3.5
249,18:31:38,0
395,18:31:38,0
9158,18:31:38,3.4
8978,18:31:38,0
6043,18:31:38,0.6
6020,18:31:38,0
6338,18:31:38,0
172,18:31:38,0
406,18:31:38,0
343,18:31:38,0
6002,18:31:38,0
8945,18:31:38,0
6350,18:31:38,0
6211,18:31:38,0
582,18:31:38,0
8988,18:31:38,0.2
6007,18:31:38,0
8914,18:31:38,0
8987,18:31:38,0
141,18:31:39,11.2
249,18:31:39,0
395,18:31:39,0
9158,18:31:39,11.6
8978,18:31:39,0
6043,18:31:39,0.6
6020,18:31:39,0
6338,18:31:39,0
172,18:31:39,0
406,18:31:39,0
343,18:31:39,0
6002,18:31:39,0
8945,18:31:39,0
6350,18:31:39,0
6211,18:31:39,0
582,18:31:39,0
8988,18:31:39,0.3
6007,18:31:39,0
8914,18:31:39,0
8987,18:31:39,0
141,18:31:40,8.5
249,18:31:40,0
395,18:31:40,0
9158,18:31:40,15.1
8978,18:31:40,0
6043,18:31:40,0.5
6020,18:31:40,0
6338,18:31:40,0
172,18:31:40,0
406,18:31:40,0.1
343,18:31:40,0
6002,18:31:40,0
8945,18:31:40,0
6350,18:31:40,0
6211,18:31:40,0
582,18:31:40,0
8988,18:31:40,0.2
6007,18:31:40,0
8914,18:31:40,0
8987,18:31:40,0
141,18:31:41,17.3
249,18:31:41,0
395,18:31:41,0
9158,18:31:41,4
8978,18:31:41,2.9
6043,18:31:41,0.5
6020,18:31:41,0
6338,18:31:41,0
172,18:31:41,0
406,18:31:41,0
343,18:31:41,0
6002,18:31:41,0.7
8945,18:31:41,0
6350,18:31:41,0
6211,18:31:41,0
582,18:31:41,0
8988,18:31:41,0.1
6007,18:31:41,0
8914,18:31:41,0
8987,18:31:41,0.1
141,18:31:42,9
249,18:31:42,0
395,18:31:42,1.4
9158,18:31:42,8.2
8978,18:31:42,0
6043,18:31:42,12.4
6020,18:31:42,0
6338,18:31:42,0
172,18:31:42,0
406,18:31:42,0.1
343,18:31:42,0
6002,18:31:42,0.5
8945,18:31:42,0
6350,18:31:42,0
6211,18:31:42,0
582,18:31:42,0
8988,18:31:42,0.2
6007,18:31:42,0
8914,18:31:42,0
8987,18:31:42,0
141,18:31:43,2.5
249,18:31:43,0
395,18:31:43,0
9158,18:31:43,3.4
8978,18:31:43,0
6043,18:31:43,1.5
6020,18:31:43,0
6338,18:31:43,0
172,18:31:43,0
406,18:31:43,0
343,18:31:43,0
6002,18:31:43,0.2
8945,18:31:43,0
6350,18:31:43,0
6211,18:31:43,0
582,18:31:43,0
8988,18:31:43,0.3
6007,18:31:43,0
8914,18:31:43,0
8987,18:31:43,0
141,18:31:44,2.3
249,18:31:44,0
395,18:31:44,0
9158,18:31:44,3.1
8978,18:31:44,0
6043,18:31:44,1.1
6020,18:31:44,0
6338,18:31:44,0
172,18:31:44,0
406,18:31:44,0
343,18:31:44,0
6002,18:31:44,0
8945,18:31:44,0
6350,18:31:44,0
6211,18:31:44,0
582,18:31:44,0
8988,18:31:44,0.1
6007,18:31:44,0
8914,18:31:44,0
8987,18:31:44,0
141,18:31:45,20.9
249,18:31:45,0
395,18:31:45,0.9
9158,18:31:45,2.8
8978,18:31:45,0.5
6043,18:31:45,1.6
6020,18:31:45,0.1
6338,18:31:45,0
172,18:31:45,0
406,18:31:45,0.4
343,18:31:45,0.2
6002,18:31:45,3
8945,18:31:45,0
6350,18:31:45,0
6211,18:31:45,0
582,18:31:45,0
8988,18:31:45,6.7
6007,18:31:45,9.5
8914,18:31:45,0
8987,18:31:45,0
141,18:31:46,9.9
249,18:31:46,0
9158,18:31:46,11.9
395,18:31:46,18.1
8978,18:31:46,0
6043,18:31:46,2.8
6020,18:31:46,0
6338,18:31:46,0
172,18:31:46,0
406,18:31:46,0
343,18:31:46,0
6002,18:31:46,0.1
8945,18:31:46,0
6350,18:31:46,0
6211,18:31:46,0
582,18:31:46,0
8988,18:31:46,0
6007,18:31:46,0.1
8914,18:31:46,0
8987,18:31:46,0
141,18:31:47,8.7
249,18:31:47,0
9158,18:31:47,8.6
395,18:31:47,0.3
8978,18:31:47,0
6043,18:31:47,0.7
6020,18:31:47,0
6338,18:31:47,0
172,18:31:47,0
406,18:31:47,0
343,18:31:47,0
6002,18:31:47,0.2
8945,18:31:47,0
6350,18:31:47,0
6211,18:31:47,0
582,18:31:47,0
8988,18:31:47,0.2
6007,18:31:47,0.2
8914,18:31:47,0
8987,18:31:47,0
141,18:31:48,13.9
249,18:31:48,0
9158,18:31:48,15.7
395,18:31:48,0
8978,18:31:48,0
6043,18:31:48,0.7
6020,18:31:48,0
6338,18:31:48,0
172,18:31:48,0
406,18:31:48,0
343,18:31:48,0
